polygon_id,longitude,latitude,phase_angle,incidence_angle,emission_angle,pixel_x,pixel_y,brightness_temperature,local_solar_time,local_solar_time_normal_vector
3847,93.76,50.849,9.977,87.724,80.687,204,68,271.15,17.763,17.691
3848,92.942,51.347,10.007,86.443,79.586,203,68,274.96,17.708,17.541
3849,93.269,52.273,10.035,83.679,75.604,203,67,277.47,17.73,17.552
3850,92.394,52.731,10.062,82.634,74.677,202,66,278.1,17.672,17.446
3851,92.258,53.644,10.093,82.178,74.019,201,65,268.7,17.663,17.453
3852,93.028,54.068,10.093,71.861,63.282,201,65,268.7,17.714,16.808
3853,92.859,54.969,10.127,76.809,70.373,201,64,262.74,17.703,16.628
3854,91.877,55.461,10.16,84.658,77.101,200,64,266.15,17.637,17.532
3855,92.024,56.343,10.192,85.674,78.544,199,63,264.67,17.647,17.537
3856,90.898,56.788,10.224,87.517,80.156,199,62,265.6,17.572,17.735
3857,91.162,57.673,10.253,86.517,78.727,198,62,267.64,17.59,17.724
3858,90.183,58.123,10.283,85.403,77.777,198,61,273.94,17.524,17.605
3859,90.682,59.032,10.31,85.445,77.845,197,60,267.72,17.558,17.605
3860,89.666,59.479,10.341,83.731,76.41,197,60,267.72,17.49,17.412
3861,89.976,60.36,10.372,84.034,76.871,196,59,278.31,17.511,17.408
3862,88.677,60.751,10.404,87.836,80.163,195,58,282.04,17.424,17.813
3863,88.947,61.553,10.429,84.913,75.898,195,57,277.86,17.442,17.8
3864,87.768,61.929,10.458,76.603,68.713,194,57,279.31,17.364,16.978
3865,88.393,62.752,10.48,77.058,69.401,194,56,276.19,17.405,16.965
3866,87.327,63.181,10.512,75.756,68.374,193,55,260.41,17.334,16.804
3867,88.048,64.045,10.54,81.285,76.587,193,55,260.41,17.382,16.546
3868,86.805,64.482,10.578,87.037,80.864,192,54,261.71,17.299,17.492
3869,87.502,65.372,10.611,87.657,81.798,191,54,265.15,17.346,17.493
3870,86.243,65.786,10.645,90.092,83.615,191,53,264.64,17.262,17.838
3871,86.327,66.647,10.684,89.753,83.112,190,53,260.82,17.267,17.83
3872,87.739,67.037,10.683,68.759,61.197,190,52,257.38,17.362,16.344
3873,87.217,67.825,10.725,72.239,66.425,189,51,249.5,17.327,16.143
3874,88.801,68.189,10.723,85.632,80.29,189,51,249.5,17.432,17.188
3875,88.496,69.036,10.771,89.194,85.376,188,51,261.58,17.412,17.196
3876,90.298,69.416,10.773,92.118,88.38,188,50,249.76,17.532,17.589
3877,89.973,70.284,10.824,89.95,85.274,187,50,261.29,17.511,17.512
3878,91.767,70.65,10.826,85.304,80.458,187,50,261.29,17.63,17.028
3879,91.247,71.492,10.875,81.332,74.841,186,49,274.54,17.595,17.05
3880,92.992,71.756,10.871,65.441,58.251,186,49,274.54,17.712,16.032
3881,93.634,72.485,10.903,73.143,69.151,186,48,272.69,17.754,15.632
3882,92.467,72.996,10.942,76.918,71.044,185,48,279.47,17.677,16.537
3883,93.157,73.799,10.982,87.572,85.588,184,47,282.21,17.723,16.198
3886,94.558,75.472,11.075,89.494,87.769,182,47,294.54,17.816,16.362
3887,96.271,76.212,11.111,88.868,86.911,182,46,278.58,17.93,16.397
3888,94.186,76.762,11.158,82.493,82.776,181,46,274.82,17.791,13.504
3889,95.742,77.524,11.197,82.253,82.451,180,46,284.41,17.895,13.596
3890,93.678,78.074,11.244,80.84,81.613,179,46,291.94,17.758,12.915
3891,96.097,78.838,11.279,78.474,78.331,178,46,283.62,17.919,13.766
3892,94.371,79.387,11.322,76.441,77.449,178,46,283.62,17.804,12.701
3893,97.135,80.144,11.357,74.035,74.095,177,46,279.48,17.988,13.455
3894,94.717,80.707,11.403,71.949,72.919,176,46,284.44,17.827,12.762
3895,97.28,81.453,11.441,76.646,79.338,175,46,276.63,17.997,11.245
3896,94.473,82.009,11.487,78.58,80.431,174,46,272.21,17.811,11.876
3897,98.264,82.731,11.52,82.94,86.293,174,46,272.21,18.063,10.043
3898,96.045,83.256,11.561,79.33,84.767,173,46,266.31,17.915,9.15
3969,90.192,46.476,9.872,89.326,82.193,206,71,272.74,17.525,17.843
3970,90.789,46.977,9.881,87.51,80.312,206,71,272.74,17.565,17.694
3971,90.407,47.978,9.922,87.202,79.882,205,70,267.81,17.539,17.691
3972,91.196,48.466,9.928,90.267,83.019,205,70,267.81,17.592,17.948
3973,90.959,49.448,9.965,88.962,81.22,204,69,270.31,17.576,17.913
3974,91.779,49.923,9.97,88.919,81.182,204,69,270.31,17.631,17.909
3975,91.803,50.885,10.004,90.97,84.053,203,68,274.96,17.633,17.966
3976,90.959,51.366,10.034,92.127,85.043,203,67,277.47,17.576,18.096
3977,91.224,52.288,10.063,89.802,81.804,202,67,271.54,17.594,18.021
3978,90.322,52.734,10.091,86.151,78.609,202,66,278.1,17.534,17.646
3979,90.131,53.663,10.125,85.64,77.888,201,65,268.7,17.521,17.642
3980,90.891,54.128,10.129,78.786,70.757,201,65,268.7,17.572,17.168
3981,90.672,55.042,10.163,79.894,72.322,200,64,266.15,17.557,17.153
3982,89.655,55.465,10.19,91.743,82.903,200,63,264.97,17.489,18.284
3983,89.736,56.327,10.22,95.6,88.335,199,63,264.67,17.495,18.44
3984,88.58,56.719,10.249,91.787,84.976,198,62,267.64,17.418,18.035
3985,88.757,57.63,10.283,90.067,82.357,198,61,273.94,17.429,18.003
3986,87.747,58.047,10.312,86.888,79.658,197,61,270.07,17.362,17.658
3987,88.154,58.987,10.343,86.581,79.194,196,60,277.83,17.389,17.66
3988,87.094,59.398,10.373,86.789,79.365,196,59,278.31,17.319,17.683
3989,87.312,60.279,10.404,86.257,78.556,195,59,290.95,17.333,17.686
3990,85.989,60.612,10.433,88.914,80.892,195,58,282.04,17.245,17.95
3991,86.168,61.46,10.463,88.878,80.841,194,57,279.31,17.257,17.949
3992,84.945,61.819,10.493,82.958,75.846,194,57,279.31,17.175,17.307
3993,85.469,62.716,10.521,82.066,74.433,193,56,269.87,17.21,17.339
3994,84.354,63.09,10.552,81.26,73.782,192,55,268.22,17.136,17.244
3995,84.967,63.989,10.58,83.541,77.453,192,55,268.22,17.177,17.144
3996,83.676,64.348,10.614,88.831,81.62,191,54,265.15,17.091,17.828
3997,84.251,65.255,10.646,90.118,83.632,191,53,264.64,17.129,17.841
3998,82.975,65.608,10.678,91.077,84.368,190,53,260.82,17.044,17.963
3999,82.935,66.476,10.719,92.92,87.375,189,52,255.94,17.041,18.0
4000,84.274,66.986,10.725,83.708,77.704,189,52,255.94,17.131,17.145
4001,83.667,67.782,10.771,84.457,78.951,188,51,261.58,17.09,17.1
4002,85.202,68.233,10.771,73.381,67.396,188,51,261.58,17.192,16.274
4003,84.737,69.015,10.815,76.387,72.394,187,50,261.29,17.161,15.865
4004,86.44,69.456,10.817,87.726,84.156,187,50,261.29,17.275,16.918
4005,85.947,70.266,10.864,84.467,78.989,186,50,286.64,17.242,17.1
4006,87.665,70.713,10.869,92.971,87.895,186,50,286.64,17.357,17.948
4007,86.996,71.532,10.919,92.923,87.82,185,49,303.57,17.312,17.946
4008,88.781,71.945,10.923,76.247,70.322,185,49,303.57,17.431,16.487
4009,87.877,72.767,10.975,79.464,75.389,184,48,281.04,17.371,16.193
4010,89.528,73.145,10.978,66.523,61.608,184,48,281.04,17.481,15.478
4011,88.539,74.012,11.036,73.847,72.84,183,47,290.1,17.415,14.163
4012,90.479,74.382,11.04,78.603,77.825,183,47,290.1,17.544,14.282
